epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.949,1.53708,2.51787,0.98185,0.15664,0.34255,0.15419,0.08619,1.45106,2.59797,0.90434,6.666e-05,6.666e-05,6.666e-05
2,350.689,1.46279,1.51866,0.93673,0.36374,0.42431,0.17972,0.09991,1.35216,2.04964,0.90759,0.000137281,0.000137281,0.000137281
3,538.902,1.38413,1.42267,0.91463,0.49449,0.33391,0.20333,0.11215,1.31707,1.77019,0.91196,0.000200202,0.000200202,0.000200202
4,722.923,1.36683,1.35841,0.90898,0.2468,0.39129,0.23156,0.12306,1.42083,1.76135,0.92578,0.000255424,0.000255424,0.000255424
5,908.488,1.36349,1.30033,0.9068,0.29274,0.56226,0.30141,0.17503,1.40326,1.62278,0.92716,0.000302947,0.000302947,0.000302947
6,1106.18,1.34411,1.21302,0.91552,0.32865,0.58231,0.34003,0.19565,1.36754,1.84782,0.92594,0.000342771,0.000342771,0.000342771
7,1279.78,1.25282,1.14077,0.90562,0.32927,0.64592,0.34967,0.21102,1.29889,2.00293,0.91592,0.000374896,0.000374896,0.000374896
8,1448.31,1.3096,1.14674,0.89923,0.33806,0.66599,0.36847,0.21634,1.31038,1.75375,0.91567,0.000399321,0.000399321,0.000399321
9,1611.42,1.33623,1.11906,0.90635,0.36743,0.64123,0.34929,0.19665,1.38813,1.97426,0.92519,0.000416047,0.000416047,0.000416047
10,1761.85,1.2507,1.07403,0.90803,0.37728,0.6025,0.35834,0.21153,1.3213,1.90659,0.91747,0.000425074,0.000425074,0.000425074
11,1913.15,1.29792,1.20498,0.92005,0.38607,0.58387,0.34788,0.20292,1.36457,1.68663,0.92136,0.000426402,0.000426402,0.000426402
12,2050.27,1.27312,1.10586,0.92398,0.37515,0.58724,0.3422,0.19927,1.29679,1.62081,0.90662,0.00042003,0.00042003,0.00042003
13,2173.93,1.24995,1.07519,0.92546,0.34775,0.60164,0.35164,0.20832,1.31447,1.62868,0.90897,0.000405959,0.000405959,0.000405959
14,2307.91,1.27739,1.04977,0.9238,0.32941,0.58981,0.35775,0.20407,1.36404,1.5532,0.91773,0.000384189,0.000384189,0.000384189
15,2437.96,1.24529,1.05157,0.90897,0.35083,0.57337,0.34867,0.20005,1.30964,1.54931,0.90874,0.000341077,0.000341077,0.000341077
16,2571.41,1.2136,1.02401,0.90429,0.39691,0.50704,0.34233,0.20085,1.30632,1.62806,0.91356,0.000286083,0.000286083,0.000286083
17,2709.22,1.20218,1.00939,0.91159,0.37067,0.5498,0.33734,0.19421,1.35304,1.652,0.9176,0.000231088,0.000231088,0.000231088
18,2847.18,1.18738,0.98565,0.8991,0.36789,0.55093,0.33895,0.19737,1.32452,1.63027,0.90644,0.000176094,0.000176094,0.000176094
19,2976.31,1.17961,0.97017,0.9039,0.35342,0.54967,0.33243,0.20114,1.27282,1.69403,0.89895,0.000121099,0.000121099,0.000121099
20,3102,1.14095,0.94836,0.89169,0.36068,0.56878,0.33798,0.20646,1.28275,1.72212,0.8993,6.61045e-05,6.61045e-05,6.61045e-05
