epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,187.203,1.90205,1.47683,1.04049,0.15298,0.1097,0.07738,0.0398,0.84591,1.41809,0.17448,0.00029997,0.00029997,0.00029997
2,375.037,0.91628,0.89829,0.18094,0.71191,0.14616,0.07861,0.04357,0.56212,1.00601,0.09085,0.000580803,0.000580803,0.000580803
3,563.771,0.82731,0.70849,0.15407,0.55454,0.18723,0.11055,0.06474,0.59193,0.7914,0.09797,0.000830839,0.000830839,0.000830839
4,752,0.78195,0.64504,0.14841,0.14264,0.20744,0.11716,0.06917,0.59222,0.71474,0.09234,0.000946016,0.000946016,0.000946016
5,939.76,0.84756,0.63165,0.16063,0.33021,0.21247,0.1187,0.06328,0.58754,0.71209,0.082,0.000891022,0.000891022,0.000891022
6,1126.48,0.69006,0.72389,0.09922,0.37191,0.1878,0.10937,0.06092,0.54242,0.70624,0.07919,0.000836027,0.000836027,0.000836027
7,1313.04,0.59857,0.69661,0.07925,0.54538,0.17389,0.10638,0.05828,0.55107,0.78451,0.08096,0.000781033,0.000781033,0.000781033
8,1499.85,0.64544,0.67443,0.07802,0.63541,0.2023,0.124,0.06773,0.56352,0.69748,0.09094,0.000726038,0.000726038,0.000726038
9,1688.33,0.62379,0.66944,0.07533,0.6171,0.21674,0.13408,0.07368,0.53967,0.72478,0.07577,0.000671044,0.000671044,0.000671044
10,1877.19,0.58083,0.66859,0.07327,0.40346,0.21322,0.12497,0.0639,0.56701,0.67635,0.08087,0.000616049,0.000616049,0.000616049
11,2066.47,0.54161,0.67491,0.06809,0.40015,0.22334,0.12654,0.0656,0.54881,0.69636,0.07493,0.000561055,0.000561055,0.000561055
12,2256.29,0.52336,0.66415,0.06805,0.64791,0.22167,0.13144,0.06805,0.52528,0.66988,0.07564,0.00050606,0.00050606,0.00050606
13,2446.31,0.50471,0.65581,0.06494,0.65046,0.22393,0.13851,0.07275,0.52675,0.66763,0.07056,0.000451066,0.000451066,0.000451066
14,2635.42,0.50362,0.65151,0.06562,0.65558,0.23051,0.14108,0.07352,0.51952,0.6703,0.07088,0.000396071,0.000396071,0.000396071
15,2823.71,0.50451,0.64877,0.06161,0.64437,0.23353,0.14359,0.07582,0.51192,0.66564,0.07008,0.000341077,0.000341077,0.000341077
16,3012.49,0.50935,0.63632,0.05787,0.6259,0.23538,0.13867,0.07498,0.50456,0.66607,0.06633,0.000286083,0.000286083,0.000286083
17,3201.83,0.49608,0.64359,0.06023,0.64805,0.23341,0.14268,0.07637,0.50972,0.65983,0.06582,0.000231088,0.000231088,0.000231088
18,3391.52,0.49019,0.63643,0.05843,0.65624,0.2294,0.14383,0.07647,0.52181,0.65674,0.06752,0.000176094,0.000176094,0.000176094
19,3581.53,0.4917,0.63323,0.05856,0.65376,0.23377,0.1471,0.07849,0.51904,0.65303,0.0674,0.000121099,0.000121099,0.000121099
20,3772.23,0.4868,0.637,0.05924,0.65221,0.23625,0.14799,0.07977,0.51186,0.65655,0.06593,6.61045e-05,6.61045e-05,6.61045e-05
